"eid","annual","casual","maturity","nopay"
"e0001","0","0","50","0"
"e0002","9","18","2","6"
"e0003","10","15","6","7"
"e0012","0","0","50","0"
"e1235","0","0","50","0"
"e1236","0","0","17","0"
"e1237","0","0","50","0"
"e1238","0","0","50","0"
"eid","name","leavestaken"
"pgid","casual","annual","nopay","maturity"
"pg0000","0","0","0","50"
"pg0001","0","0","0","50"
"pg0002","18","9","6","2"
"pg0003","15","10","7","6"
"pg0004","100","1","5","50"
"name","totalleaves"
"name","type","leaves"
"Marketing Dept","maturity","2"
"Marketing Dept","annual","1"
"Marketing Dept","casual","3"
"name","totalleaves"
